Name,Status,Area,Project,XP,Notes,Date
Select Niche: Managed Hosting,To Do,Tech & Startups,Business: High-Ticket Affiliates,40,,
Content Strategy: Data-Led Benchmarks,To Do,Tech & Startups,Business: High-Ticket Affiliates,50,,
Build Funnel Assets,To Do,Tech & Startups,Business: High-Ticket Affiliates,40,,
Develop Python Script,To Do,Tech & Startups,Tool: Telegram Accountability Bot,50,,
Implement 'Coach' Persona,To Do,Tech & Startups,Tool: Telegram Accountability Bot,30,,
Deploy to Cloud,To Do,Tech & Startups,Tool: Telegram Accountability Bot,20,,
Define Core Logic,To Do,Tech & Startups,App: Delayed Gratification,40,,
UI/UX Design,To Do,Tech & Startups,App: Delayed Gratification,30,,
Niche Research & Selection,To Do,Tech & Startups,Travel Affiliate Blog (SEO + Viral),30,,
Setup Affiliate Partnerships,To Do,Tech & Startups,Travel Affiliate Blog (SEO + Viral),40,,
Deploy Blog Infrastructure,To Do,Tech & Startups,Travel Affiliate Blog (SEO + Viral),50,,
Viral Content Strategy (TikTok/IG),To Do,Tech & Startups,Travel Affiliate Blog (SEO + Viral),40,,
Keyword Research: Trails & Tours,To Do,Tech & Startups,Travel Affiliate Blog (SEO + Viral),30,,
Weekly Injection Log,To Do,Health & Biohacking,Protocolo Wegovy (Medical),20,,
Satiety Management,To Do,Health & Biohacking,Protocolo Wegovy (Medical),20,,
Weekly Meal Prep,To Do,Health & Biohacking,Nutrición Anti-Triglicéridos,40,,
Regla de Cierre Nocturno,To Do,Health & Biohacking,Nutrición Anti-Triglicéridos,50,,
Zero-Breakfast Habit,Done,Health & Biohacking,Nutrición Anti-Triglicéridos,10,,
Tennis Sessions,To Do,Health & Biohacking,Entrenamiento Híbrido,30,,
Strength Training,To Do,Health & Biohacking,Entrenamiento Híbrido,40,,
Visceral Fat Cardio,To Do,Health & Biohacking,Entrenamiento Híbrido,20,,
Apply '20 Minute Delay',To Do,Health & Biohacking,Weed Reduction System,50,,
Identify Trigger Type,To Do,Health & Biohacking,Weed Reduction System,30,,
